Default efficiency,,,,,,,,,,
gRNA count,wt at end,drive at end,compl r1 at end,part r1 at end,compl r2 at end,part r2 at end,inds with drive at end,pop at end,gens from drop to end,zero end population
2,0.000179262,0.001131206,0.9969365,6.28E-06,0.001739824,7.01E-06,0.002260415,99984.2,100,0
3,1.07E-04,0.001326337,0.9969246,6.90E-05,0.001552656,2.06E-05,0.002652171,100006.3,100,0
4,1.67561E-06,0.002599213,0.990106,0.004224797,0.003061601,6.71E-06,0.005195072,99716.11111,100,0.55
5,0.000211808,0.002607048,0.9889605,0.00385934,0.004317383,4.39143E-05,0.005211582,99663,100,0.8
6,0,0.00804841,0.978168,0.00377834,0.00988489,0.000120425,0.0160366,99647,100,0.95
7,0.00848214,0.718304,0,0.0674107,0.149107,0.0566964,0.922321,1120,100,0.95
8,0.057100874,0.676744714,0,0.024122389,0.184183429,0.0578487,0.897419143,5426,100,0.65
9,0.052117345,0.670018529,0.016127353,0.031261172,0.174083059,0.056392647,0.890374647,8063.176471,100,0.15
10,0.066376284,0.644542611,0,0.032792464,0.195104056,0.061184689,0.877026778,8083.777778,100,0.1
11,0.084890855,0.6212182,0,0.022809709,0.20929795,0.061783355,0.86043205,11095.2,100,0
12,0.09798891,0.5768818,0,0.030044127,0.23001005,0.06507505,0.8245187,14912.55,100,0
Low efficiency low r1,,,,,,,,,,
gRNA count,wt at end,drive at end,compl r1 at end,part r1 at end,compl r2 at end,part r2 at end,inds with drive at end,pop at end,gens from drop to end,zero end population
1,0.001133541,0.001046015,0.99431015,0,0.00351022,0,0.002092029,100098.75,100,0
2,0.000261805,0.002392837,0.994447923,4.49937E-05,0.002824784,2.76604E-05,0.004774133,100017.9231,100,0.35
3,0,0.0019779,0.996469,0.00E+00,0.00155335,0.00E+00,0.00393583,100106,100,0.95
4,0,0,0,0.00E+00,0,0.00E+00,0,0,100,1
5,0.00E+00,0,0,0,0,0.00E+00,0,0,100,1
6,0.0511111,0.808148,0,0,0.104444,3.63E-02,0.961481,675,100,0.95
7,0.06860335,0.747064,0,0,0.146009,0.03832375,0.93318,2413.5,100,0.9
8,0.06604113,0.7038795,0,0.016343931,0.166116625,0.047618875,0.9080865,4215,100,0.6
9,0.089289076,0.677758647,0,0.000556438,0.177316824,0.055078912,0.895839412,5658.176471,100,0.15
10,0.089673855,0.65853875,0,0.002509382,0.19214935,0.05712861,0.88725085,7368.1,100,0
11,0.10455655,0.6221544,0,0.003324811,0.20783745,0.062126805,0.86156205,10696.05,100,0
12,0.121888345,0.58107865,0,0.003679339,0.23007195,0.06328176,0.8284388,14066.2,100,0
